algo,impl,N,workers,iter,seconds,pi
dart,omp,200000000,4,4,0.395918,3.141707480
dart,omp,200000000,4,5,0.409090,3.141707480
dart,omp,200000000,8,1,0.211199,3.141602420
dart,omp,200000000,8,2,0.220506,3.141602420
dart,omp,200000000,8,3,0.208312,3.141602420
dart,omp,200000000,8,4,0.207112,3.141602420
dart,omp,200000000,8,5,0.213205,3.141602420
dart,omp,200000000,16,1,0.152136,3.141520500
dart,omp,200000000,16,2,0.143033,3.141520500
dart,omp,200000000,16,3,0.116910,3.141520500
dart,omp,200000000,16,4,0.121783,3.141520500
dart,omp,200000000,16,5,0.163909,3.141520500
dart,omp,400000000,1,1,2.992957,3.141689700
dart,omp,400000000,1,2,1.593017,3.141689700
dart,omp,400000000,1,3,2.982426,3.141689700
dart,omp,400000000,1,4,2.970265,3.141689700
dart,omp,400000000,1,5,2.975033,3.141689700
dart,omp,400000000,2,1,1.607276,3.141737310
dart,omp,400000000,2,2,1.549223,3.141737310
dart,omp,400000000,2,3,1.549327,3.141737310
dart,omp,400000000,2,4,1.506189,3.141737310
dart,omp,400000000,2,5,1.560384,3.141737310
dart,omp,400000000,4,1,0.804992,3.141626220
dart,omp,400000000,4,2,0.799671,3.141626220
dart,omp,400000000,4,3,0.799348,3.141626220
dart,omp,400000000,4,4,0.783793,3.141626220
dart,omp,400000000,4,5,0.818021,3.141626220
dart,omp,400000000,8,1,0.408413,3.141604080
dart,omp,400000000,8,2,0.409559,3.141604080
dart,omp,400000000,8,3,0.412471,3.141604080
dart,omp,400000000,8,4,0.414136,3.141604080
dart,omp,400000000,8,5,0.411274,3.141604080
dart,omp,400000000,16,1,0.263510,3.141570210
dart,omp,400000000,16,2,0.277611,3.141570210
dart,omp,400000000,16,3,0.270667,3.141570210
dart,omp,400000000,16,4,0.266709,3.141570210
dart,omp,400000000,16,5,0.277872,3.141570210
dart,omp,800000000,1,1,5.944978,3.141648020
dart,omp,800000000,1,2,4.463972,3.141648020
dart,omp,800000000,1,3,5.923314,3.141648020
dart,omp,800000000,1,4,5.976303,3.141648020
dart,omp,800000000,1,5,5.968876,3.141648020
dart,omp,800000000,2,1,3.050534,3.141723540
dart,omp,800000000,2,2,3.054920,3.141723540
dart,omp,800000000,2,3,3.055961,3.141723540
dart,omp,800000000,2,4,1.577508,3.141723540
dart,omp,800000000,2,5,3.018747,3.141723540
dart,omp,800000000,4,1,1.539273,3.141665650
dart,omp,800000000,4,2,1.574036,3.141665650
dart,omp,800000000,4,3,1.553414,3.141665650
dart,omp,800000000,4,4,1.541713,3.141665650
dart,omp,800000000,4,5,1.553600,3.141665650
dart,omp,800000000,8,1,0.796228,3.141608460
dart,omp,800000000,8,2,0.808529,3.141608460
dart,omp,800000000,8,3,0.804136,3.141608460
dart,omp,800000000,8,4,0.821769,3.141608460
dart,omp,800000000,8,5,0.808029,3.141608460
dart,omp,800000000,16,1,0.517792,3.141604020
dart,omp,800000000,16,2,0.522814,3.141604020
dart,omp,800000000,16,3,0.493680,3.141604020
dart,omp,800000000,16,4,0.535879,3.141604020
dart,omp,800000000,16,5,0.506354,3.141604020
dart,omp,1600000000,1,1,11.906443,3.141599408
dart,omp,1600000000,1,2,10.462033,3.141599408
dart,omp,1600000000,1,3,11.890180,3.141599408
dart,omp,1600000000,1,4,10.451724,3.141599408
dart,omp,1600000000,1,5,11.903824,3.141599408
dart,omp,1600000000,2,1,6.087602,3.141649095
dart,omp,1600000000,2,2,6.164705,3.141649095
dart,omp,1600000000,2,3,4.691508,3.141649095
dart,omp,1600000000,2,4,6.192540,3.141649095
dart,omp,1600000000,2,5,6.170514,3.141649095
dart,omp,1600000000,4,1,3.105531,3.141681043
dart,omp,1600000000,4,2,3.266708,3.141681043
dart,omp,1600000000,4,3,3.129725,3.141681043
dart,omp,1600000000,4,4,3.120086,3.141681043
dart,omp,1600000000,4,5,3.095387,3.141681043
dart,omp,1600000000,8,1,1.599660,3.141626777
dart,omp,1600000000,8,2,0.099694,3.141626777
