impl,size,workers,iter,seconds
openmp_blocked,800,32,2,0.05
openmp_bt,800,32,3,0.04
openmp_blocked,800,32,3,0.05
openmp_bt,800,32,4,0.05
openmp_blocked,800,32,4,0.06
openmp_bt,800,32,5,0.05
openmp_blocked,800,32,5,0.05
openmp_bt,800,32,6,0.05
openmp_blocked,800,32,6,0.05
openmp_bt,800,32,7,0.05
openmp_blocked,800,32,7,0.05
openmp_bt,800,32,8,0.05
openmp_blocked,800,32,8,0.05
openmp_bt,800,32,9,0.05
openmp_blocked,800,32,9,0.05
openmp_bt,800,32,10,0.05
openmp_blocked,800,32,10,0.05
openmp_bt,1200,1,1,0.44
openmp_blocked,1200,1,1,0.25
openmp_bt,1200,1,2,0.36
openmp_blocked,1200,1,2,0.24
openmp_bt,1200,1,3,0.33
openmp_blocked,1200,1,3,0.24
openmp_bt,1200,1,4,0.34
openmp_blocked,1200,1,4,0.25
openmp_bt,1200,1,5,0.36
openmp_blocked,1200,1,5,0.24
openmp_bt,1200,1,6,0.35
openmp_blocked,1200,1,6,0.24
openmp_bt,1200,1,7,0.36
openmp_blocked,1200,1,7,0.24
openmp_bt,1200,1,8,0.35
openmp_blocked,1200,1,8,0.24
openmp_bt,1200,1,9,0.39
openmp_blocked,1200,1,9,0.24
openmp_bt,1200,1,10,0.37
openmp_blocked,1200,1,10,0.24
openmp_bt,1200,2,1,0.25
openmp_blocked,1200,2,1,0.16
openmp_bt,1200,2,2,0.22
openmp_blocked,1200,2,2,0.16
openmp_bt,1200,2,3,0.24
openmp_blocked,1200,2,3,0.16
openmp_bt,1200,2,4,0.21
openmp_blocked,1200,2,4,0.16
openmp_bt,1200,2,5,0.25
openmp_blocked,1200,2,5,0.19
openmp_bt,1200,2,6,0.24
openmp_blocked,1200,2,6,0.17
openmp_bt,1200,2,7,0.25
openmp_blocked,1200,2,7,0.21
openmp_bt,1200,2,8,0.41
openmp_blocked,1200,2,8,0.19
openmp_bt,1200,2,9,0.30
openmp_blocked,1200,2,9,0.18
openmp_bt,1200,2,10,0.35
openmp_blocked,1200,2,10,0.18
openmp_bt,1200,4,1,0.17
openmp_blocked,1200,4,1,0.12
openmp_bt,1200,4,2,0.20
openmp_blocked,1200,4,2,0.13
openmp_bt,1200,4,3,0.18
openmp_blocked,1200,4,3,0.12
openmp_bt,1200,4,4,0.15
openmp_blocked,1200,4,4,0.12
openmp_bt,1200,4,5,0.17
openmp_blocked,1200,4,5,0.15
openmp_bt,1200,4,6,0.16
openmp_blocked,1200,4,6,0.12
openmp_bt,1200,4,7,0.17
openmp_blocked,1200,4,7,0.12
openmp_bt,1200,4,8,0.17
openmp_blocked,1200,4,8,0.12
openmp_bt,1200,4,9,0.18
openmp_blocked,1200,4,9,0.15
openmp_bt,1200,4,10,0.15
openmp_blocked,1200,4,10,0.12
openmp_bt,1200,8,1,0.13
openmp_blocked,1200,8,1,0.12
openmp_bt,1200,8,2,0.14
openmp_blocked,1200,8,2,0.11
openmp_bt,1200,8,3,0.14
openmp_blocked,1200,8,3,0.13
openmp_bt,1200,8,4,0.14
openmp_blocked,1200,8,4,0.12
openmp_bt,1200,8,5,0.14
openmp_blocked,1200,8,5,0.12
openmp_bt,1200,8,6,0.15
openmp_blocked,1200,8,6,0.12
openmp_bt,1200,8,7,0.14
openmp_blocked,1200,8,7,0.12
openmp_bt,1200,8,8,0.13
